id,name,address,latitude,longitude,distance,selected
ola-platform:5000038552074,Sarique Medical,"Balughata-City Center Road,  Durgachak New Colony,  Durgachak,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.03 km,False
ola-platform:5000050143512,Shri Durga Medical Store,"Durgachak-City Center Road,  Durgachak New Colony,  Durgachak,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.08 km,False
ola-platform:5000065037615,Frank Ross,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.08 km,False
ola-platform:5000043582975,Pal Medical,"City Center-Durgachak Road,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.09 km,False
ola-platform:5000037245894,Messars The MediCare,"City Center-Durgachak Road,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.09 km,False
ola-platform:5000039118607,Remedy Medical,"City Center-Durgachak Road,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.09 km,False
ola-platform:5000049047180,Rakhi Medicine,"City Center-Durgachak Road,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.09 km,False
ola-platform:5000055634007,Medicure,"Balughata-City Center Road,  Durgachak New Colony,  Durgachak,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.09 km,False
ola-platform:5000062682023,Rekha Medical Stores,"City Center-Durgachak Road,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.14 km,False
ola-platform:5000055158580,Homeopathy Medicine Shop,"Haldia,  West Bengal,  721602,  India",,,1.16 km,False
ola-platform:5000058408621,Vareshi Homeo Hall,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.17 km,False
ola-platform:5000060675099,Patanjali Arogya Kendra,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.29 km,False
ola-platform:5000058321720,Apollo Pharmacy,"Kolaghat,  Purba Medinipur,  West Bengal,  721134,  India",,,0.29 km,False
ola-platform:5000053141268,Maity Homeopharmacy,"Kolaghat,  Purba Medinipur,  West Bengal,  721134,  India",,,0.32 km,False
ola-platform:5000066557908,Shital Medicine,"Das Para More,  N/a,  Kolaghat,  West Bengal,  721134,  India",,,0.33 km,False
ola-platform:5000054822869,Shreya Medical,"Kolaghat,  West Bengal,  721134,  India",,,0.34 km,False
